id,left,top,right,bottom,mas_Premonsoon,mas_Postmonsoon,sph_Premonsoon,sph_Postmonsoon,mas_premon,mas_postmon
383,76.25,15.5,76.5,15.25,-123.39,157.552,-76.3896,60.7201,-80.6808,86.4133
382,76.25,15.75,76.5,15.5,-125.2,184.144,-70.2905,58.2468,-98.4911,93.392
381,76.25,16,76.5,15.75,-99.0718,195.149,-71.2596,60.8984,-122.724,69.308
380,76.25,16.25,76.5,16,-90.87,215.995,-74.2263,73.5119,-129.299,54.016
379,76.25,16.5,76.5,16.25,-109.651,204.488,-85.1255,74.2502,-141.42,56.086
378,76.25,16.75,76.5,16.5,-114.317,209.117,-87.6124,70.0985,-157.665,86.2625
377,76.25,17,76.5,16.75,-114.132,226.567,-85.4702,70.7636,-137.342,119.758
376,76.25,17.25,76.5,17,-124.656,224.998,-87.9244,73.253,-155.755,127.496
375,76.25,17.5,76.5,17.25,-143.39,205.851,-85.6438,80.6274,-140.938,90.409
374,76.25,17.75,76.5,17.5,-147.607,198.612,-87.5666,87.2181,-61.6152,119.503
373,76.25,18,76.5,17.75,-159.416,186.616,-85.6454,95.1906,-63.0901,115.308
419,76.5,13.5,76.75,13.25,-71.0663,255.418,-71.5553,51.1107,-72.6748,126.48
418,76.5,13.75,76.75,13.5,-70.9334,255.903,-71.0278,52.8211,-66.3044,127.335
417,76.5,14,76.75,13.75,-65.1102,241.993,-73.2,49.0904,-63.9314,113.919
416,76.5,14.25,76.75,14,-71.6195,220.325,-68.907,53.518,-85.2629,103.319
415,76.5,14.5,76.75,14.25,-78.3422,207.873,-67.4011,53.6785,-101.03,91.5677
414,76.5,14.75,76.75,14.5,-81.5823,207.067,-70.6386,52.4497,-96.5738,95.6156
413,76.5,15,76.75,14.75,-95.4427,213.767,-79.3619,48.6279,-107.943,49.168
412,76.5,15.25,76.75,15,-106.037,216.77,-76.6273,48.4179,-109.385,57.4177
411,76.5,15.5,76.75,15.25,-110.167,182.913,-80.7553,59.5639,-108.206,60.168
410,76.5,15.75,76.75,15.5,-110.511,198.826,-77.9521,56.907,-115.15,56.0165
409,76.5,16,76.75,15.75,-111,192.863,-81.4319,60.2246,-133.567,85.7783
408,76.5,16.25,76.75,16,-104.329,206.002,-82.7927,70.8521,-127.895,72.4942
407,76.5,16.5,76.75,16.25,-118.649,219.442,-88.666,69.1085,-120.414,70.8114
406,76.5,16.75,76.75,16.5,-119.433,215.19,-86.9596,75.2902,-144.021,82.4317
405,76.5,17,76.75,16.75,-124.14,205.48,-81.8825,82.0063,-158.625,112.362
404,76.5,17.25,76.75,17,-116.244,222.414,-87.8588,84.8507,-147.823,133.677
403,76.5,17.5,76.75,17.25,-120.014,216.912,-92.0312,87.4121,-135.095,90.0456
402,76.5,17.75,76.75,17.5,-153.267,199.696,-84.5384,89.1411,-69.5208,63.8006
401,76.5,18,76.75,17.75,-156.078,184.85,-83.3796,94.0374,-70.9352,65.7296
447,76.75,13.5,77,13.25,-60.0874,263.725,-76.4472,34.0061,-79.6575,75.1695
446,76.75,13.75,77,13.5,-69.6157,269.83,-74.9133,36.93,-74.1265,104.796
445,76.75,14,77,13.75,-71.2006,253.835,-76.0649,36.1317,-72.1051,106.535
444,76.75,14.25,77,14,-94.9224,237.523,-69.208,52.1876,-87.3107,100.04
443,76.75,14.5,77,14.25,-97.0806,215.236,-68.9577,52.6609,-103.111,87.4222
442,76.75,14.75,77,14.5,-100.161,203.106,-73.0747,51.5482,-106.616,83.2815
441,76.75,15,77,14.75,-111.339,220.884,-84.3366,51.0512,-117.67,86.7049
440,76.75,15.25,77,15,-113.927,213.498,-83.2869,54.6514,-112.029,95.766
439,76.75,15.5,77,15.25,-92.1477,221.504,-82.5585,61.9439,-109.817,94.078
438,76.75,15.75,77,15.5,-110.609,225.455,-82.1391,65.3752,-120.928,58.6069
437,76.75,16,77,15.75,-118.565,221.136,-83.2437,68.0292,-131.47,92.9033
436,76.75,16.25,77,16,-108.292,227.314,-91.611,65.7435,-130.282,89.1947
435,76.75,16.5,77,16.25,-122.011,242.407,-93.9373,70.2312,-114.42,97.8197
434,76.75,16.75,77,16.5,-125.082,234.416,-89.878,71.3633,-142.039,146.493
433,76.75,17,77,16.75,-124.41,234.538,-83.1836,74.6297,-152.913,156.728
432,76.75,17.25,77,17,-125.075,206.948,-89.8009,96.1416,-142.553,182.492
431,76.75,17.5,77,17.25,-124.894,200.4,-91.1671,100.511,-138.64,153.613
430,76.75,17.75,77,17.5,-168.882,191.798,-86.8428,95.9286,-77.4548,65.7931
429,76.75,18,77,17.75,-152.706,184.34,-85.8137,107.586,-85.5715,72.2163
474,77,13.75,77.25,13.5,-88.9603,270.923,-81.0915,39.6605,-79.1604,92.7996
473,77,14,77.25,13.75,-79.6636,268.437,-81.3223,38.1495,-73.0716,92.3079
472,77,14.25,77.25,14,-100.399,242.753,-74.5769,50.5835,-92.8713,86.1305
